Track,Album Name,Artist,Release Date,Spotify Streams,YouTube Views,TikTok Views
Danï¿½ï¿½a Ma,Danï¿½ï¿½a Ma,Bolofofos,5/3/2019,10423140.0,1126576126.0,3059373.0
Kalkatiya Raja,Kalkatiya Raja,Pawan Singh,9/22/2023,8607782.0,171883395.0,36029.0
Never Going Home,Summer 2021,Kungs,4/28/2021,304069347.0,87407927.0,94926621.0
Problemï¿½,Problemï¿½,Alvaro Diaz,10/22/2021,275492185.0,104950820.0,2603158294.0
Pacto (feat. Luar La L),Pacto (feat. Luar La L),Jay Wheeler,4/24/2023,58652026.0,74399520.0,344636407.0
Talk talk,BRAT,Charli xcx,6/7/2024,6446985.0,201264.0,78500.0
Daisy,Daisy,Ashnikko,7/9/2020,509353753.0,231541575.0,842856226.0
Fast Forward,GAME PLAN,JEON SOMI,8/7/2023,88499180.0,134376601.0,291191318.0
Stolen Dance,Die Ultimative Chartshow - Hits 2013,Milky Chance,1/1/2013,1460945792.0,224150562.0,2134365963.0
Set Me Free Pt.2,Set Me Free Pt.2,Jimin,3/17/2023,350802342.0,150660549.0,494628703.0
Azul,Colores,J Balvin,3/19/2020,489654759.0,478807073.0,491920895.0
LOCATION,LOCATION,KAROL G,2/12/2021,236644328.0,525752748.0,329180615.0
Terminator,Terminator,King Promise,5/5/2023,34026239.0,56469190.0,391501573.0
Orang Yang Salah - Sped Up Version,Orang Yang Salah (Sped Up Version),Luvia band,9/20/2023,3900009.0,2001200.0,529234742.0
Snowman,Snowman,Sia,11/9/2017,947770190.0,417814325.0,5479108705.0
Hurricane,Donda,Kanye West,8/29/2021,404497617.0,45337894.0,91838300.0
Rumah Singgah,Rumah Singgah,Fabio Asher,5/5/2022,239624643.0,228923419.0,3306847230.0
Strip That Down (feat. Quavo),Strip That Down,Liam Payne,5/18/2017,1000549809.0,503776997.0,181309829.0
Lost in the Fire (feat. The Weeknd),Lost in the Fire (feat. The Weeknd),Gesaffelstein,1/11/2019,895496661.0,60795572.0,500515994.0
Diva Yorgun,Diva Yorgun,Melike ï¿½ï¿½,6/16/2023,62458329.0,167062542.0,25252458.0
Can't Get Enough,Can't Get Enough,Jennifer Lopez,1/10/2024,9293098.0,19200761.0,1752700.0
Dilemma,Nellyville (Explicit Version),Nelly,6/25/2002,859999247.0,1639732381.0,368297203.0
20 Tragos,20 Tragos,Yiï¿½,11/25/2022,477396.0,388682045.0,52662.0
My wrist (with Young Thug),My wrist (with Young Thug),Yeat,5/26/2023,83393310.0,14159412.0,9909365.0
GigaChad Theme - Phonk House Version,GigaChad Theme (Phonk House Version),g3ox_em,8/22/2022,282776356.0,152603363.0,1672858.0
Jackie Chan,Jackie Chan,Tiï¿½ï¿,5/18/2018,867318774.0,207699017.0,91008651.0
Words (feat. Zara Larsson),Words (feat. Zara Larsson),Alesso,4/22/2022,383945607.0,51670623.0,159467861.0
Bombonzinho - Ao Vivo,Bombonzinho (Ao Vivo),Israel & Rodolffo,11/3/2022,343704935.0,208025693.0,153392985.0
OJALï¿,OJALï¿,Maria Becerra,6/1/2022,168710415.0,358805694.0,248098853.0
Bejeweled,Midnights,Taylor Swift,10/21/2022,536110386.0,19011964.0,1573795763.0
Back for More (with Anitta),Back for More (with Anitta),TOMORROW X TOGETHER,9/15/2023,93990459.0,112494830.0,296861046.0
Heaven,Kane Brown (Deluxe Edition),Kane Brown,10/6/2017,492361216.0,697287853.0,74609105.0
FERXXO 151,FERXXO 151,Feid,8/25/2023,106899723.0,54351042.0,44045683.0
Young And Beautiful,Music From Baz Luhrmann's Film The Great Gatsby,Lana Del Rey,1/1/2013,1256488099.0,721653474.0,881937736.0
United In Grief,Mr. Morale & The Big Steppers,Kendrick Lamar,5/13/2022,246425341.0,38465606.0,342828836.0
Drunk in Love,Beyoncï¿½ï¿½ (Del,Beyoncï¿,12/13/2013,607315454.0,827853706.0,200100315.0
FREAK,YUQ1,YUQI,4/23/2024,9956970.0,28265816.0,16415876.0
Kaikai Kitan,ýýýýýýýýýýýý,Eve,10/3/2020,404765225.0,470390576.0,561999669.0
Opp Stoppa (feat. 21 Savage),Opp Stoppa (feat. 21 Savage),YBN Nahmir,1/22/2021,246949197.0,62144315.0,4922539.0
Mary On A Cross,Seven Inches Of Satanic Panic,Ghost,9/13/2019,589145587.0,235289339.0,569986027.0
Go Fuck Yourself,First Steps,Two Feet,7/29/2016,649191183.0,645296970.0,1557145950.0
PLIS,PLIS,Camilo,2/6/2024,37814314.0,21688661.0,336367149.0
Back to Me,VULTURES 1,Kanye West,2/9/2024,77403728.0,5768907.0,1600000.0
Antidepresan,Antidepresan,Mert Demir,11/4/2022,172362945.0,164304790.0,428987615.0
Rise,Rise,Jonas Blue,5/25/2018,872518334.0,681562909.0,36403946.0
Summertime Sadness,Born To Die (Deluxe Version),Lana Del Rey,1/1/2011,1442872605.0,572303765.0,1549975311.0
8:00 AM,8:00 AM,Nicki Nicole,5/17/2023,135465283.0,106663098.0,500108092.0
Double Fantasy (with Future),Double Fantasy,The Weeknd,4/21/2023,180940067.0,51093878.0,47997951.0
Jungle,Jungle,Alok,9/22/2023,111266488.0,10259020.0,17703236.0
Fisherrr,Fisherrr - Single,Cash Cobain,2/28/2024,9215777.0,12076033.0,40589924.0
Thank You for Being You,Thank You for Being You,OctaSounds,9/7/2022,2248788.0,1577614.0,1050704352.0
Wild as Her,Wild as Her,Corey Kent,3/4/2022,180186017.0,36595510.0,23448462.0
Beautiful (feat. Camila Cabello),Beautiful (feat. Camila Cabello),Bazzi,8/2/2018,737482160.0,419937796.0,2189766597.0
Black Friday,Black Friday,Tom Odell,9/20/2023,126929488.0,11445116.0,59075543.0
Summertime Sadness (Sped Up),Summertime Sadness (Sped Up),Lana Del Rey,5/4/2022,68235585.0,444569952.0,1468789.0
Ignorantes,Ignorantes,Bad Bunny,2/14/2020,671572185.0,417964046.0,26125487.0
Break Free,Pop Party 13,Ariana Grande,1/1/2014,899830382.0,1288704058.0,371404445.0
"Nathy Peluso: Bzrp Music Sessions, Vol. 36","Nathy Peluso: Bzrp Music Sessions, Vol. 36",Bizarrap,11/27/2020,286381494.0,445932496.0,1257208158.0
WY@,WY@,Brent Faiyaz,9/19/2023,54763093.0,14737929.0,72141490.0
Acapulco,Acapulco,Jason Derulo,9/3/2021,442260324.0,83588626.0,310298540.0
GHOST TOWN,GHOST TOWN,Benson Boone,10/15/2021,382177076.0,78537068.0,629205287.0
Bande organisï¿½,Bande organisï¿½,13 Organisï¿,8/15/2020,267241905.0,515808378.0,12209681.0
